省份,城市,确诊,疑似,死亡,治愈,,,,,,,,
江西省,萍乡,33,-,0,33,,,,,,,,
江西省,吉安,22,-,0,22,,,,,,,,
江西省,鹰潭,18,-,0,18,,,,,,,,
江西省,景德镇,6,-,0,6,,,,,,,,
江西省,境外输入,2,-,0,2,,,,,,,,
江西省,赣江新区,1,-,0,1,,,,,,,,
北京市,丰台区,266,-,0,3,,,,,,,,
北京市,境外输入,174,-,0,174,,,,,,,,
北京市,大兴区,101,-,0,16,,,,,,,,
北京市,海淀区,82,-,0,0,,,,,,,,
北京市,朝阳区,77,-,0,2,,,,,,,,
北京市,西城区,59,-,0,1,,,,,,,,
北京市,昌平区,30,-,0,6,,,,,,,,
北京市,来京人士,25,-,0,2,,,,,,,,
北京市,通州区,20,-,0,0,,,,,,,,
北京市,房山区,20,-,0,0,,,,,,,,
北京市,东城区,19,-,0,1,,,,,,,,
北京市,石景山区,15,-,0,0,,,,,,,,
北京市,顺义区,10,-,0,10,,,,,,,,
北京市,怀柔区,7,-,0,0,,,,,,,,
北京市,密云区,7,-,0,0,,,,,,,,
北京市,门头沟区,5,-,0,0,,,,,,,,
北京市,延庆区,1,-,0,0,,,,,,,,
北京市,待确认地区,1,-,9,371,,,,,,,,
山东省,济宁,260,-,0,260,,,,,,,,
山东省,青岛,65,-,1,64,,,,,,,,
山东省,临沂,49,-,0,49,,,,,,,,
山东省,济南,47,-,0,47,,,,,,,,
山东省,烟台,47,-,0,47,,,,,,,,
山东省,潍坊,44,-,0,44,,,,,,,,
山东省,威海,38,-,1,37,,,,,,,,
山东省,聊城,38,-,0,38,,,,,,,,
山东省,德州,37,-,2,35,,,,,,,,
山东省,泰安,35,-,2,33,,,,,,,,
山东省,淄博,30,-,1,29,,,,,,,,
山东省,境外输入,29,-,0,29,,,,,,,,
山东省,枣庄,24,-,0,24,,,,,,,,
山东省,菏泽,18,-,0,18,,,,,,,,
山东省,日照,16,-,0,16,,,,,,,,
山东省,滨州,15,-,0,15,,,,,,,,
上海市,境外输入,370,-,0,341,,,,,,,,
上海市,外地来沪人员,113,-,1,112,,,,,,,,
上海市,浦东新区,61,-,0,61,,,,,,,,
上海市,宝山区,22,-,1,21,,,,,,,,
上海市,闵行区,19,-,0,19,,,,,,,,
上海市,徐汇区,18,-,1,17,,,,,,,,
上海市,静安区,16,-,1,15,,,,,,,,
上海市,松江区,14,-,0,14,,,,,,,,
上海市,长宁区,13,-,0,13,,,,,,,,
上海市,普陀区,11,-,0,11,,,,,,,,
上海市,奉贤区,9,-,0,9,,,,,,,,
上海市,杨浦区,9,-,0,9,,,,,,,,
上海市,嘉定区,9,-,2,7,,,,,,,,
上海市,虹口区,7,-,0,7,,,,,,,,
上海市,黄浦区,6,-,1,5,,,,,,,,
上海市,青浦区,6,-,0,6,,,,,,,,
上海市,金山区,4,-,0,4,,,,,,,,
上海市,崇明区,4,-,0,4,,,,,,,,
上海市,境外来沪人员,1,-,0,0,,,,,,,,
江苏省,南京,93,-,0,93,,,,,,,,
江苏省,苏州,87,-,0,87,,,,,,,,
江苏省,徐州,79,-,0,79,,,,,,,,
江苏省,淮安,66,-,0,66,,,,,,,,
江苏省,无锡,55,-,0,55,,,,,,,,
江苏省,常州,51,-,0,51,,,,,,,,
江苏省,连云港,48,-,0,48,,,,,,,,
江苏省,南通,40,-,0,40,,,,,,,,
江苏省,泰州,37,-,0,37,,,,,,,,
江苏省,盐城,27,-,0,27,,,,,,,,
江苏省,扬州,23,-,0,23,,,,,,,,
江苏省,境外输入,23,-,0,22,,,,,,,,
江苏省,宿迁,13,-,0,13,,,,,,,,
江苏省,镇江,12,-,0,12,,,,,,,,
四川省,成都,199,-,3,183,,,,,,,,
四川省,甘孜州,78,-,0,78,,,,,,,,
四川省,达州,42,-,0,42,,,,,,,,
四川省,南充,39,-,0,39,,,,,,,,
四川省,广安,30,-,0,30,,,,,,,,
四川省,巴中,24,-,0,24,,,,,,,,
四川省,泸州,24,-,0,24,,,,,,,,
四川省,内江,22,-,0,22,,,,,,,,
四川省,绵阳,22,-,0,22,,,,,,,,
